Material_ID,Category,Grade,Form,Specification,Description,Tensile_Strength_MPa,Yield_Strength_MPa,Elongation_Percent,Hardness_HB,Size_Dimensions,Quantity,Unit,Unit_Price_USD,Supplier,Buyer,WO_Number,MR_Number,PR_Number,RFQ_Number,Order_Date,Delivery_Date,Status,Heat_Number,MTC_Number,Inspection_Required,PMI_Required,Application
MAT-0017,Carbon Steel,A53,Plate,ASTM A516,Carbon Steel A53 Plate,780,254,18,304,429mm x 21mm,21,MT,354.23,Special Metals,Mike Chen,WO-2024-2125,MR-2024-294,PR-2024-43583,RFQ-2024-9066,2025-04-24,2025-06-07,On Site,H425037,MTC-31110,No,Yes,Piping
MAT-0018,Carbon Steel,A53,Bar,ASTM A106,Carbon Steel A53 Bar,1171,727,23,331,194mm x 389mm,58,MT,210.37,Acerinox,Mike Chen,WO-2024-9462,MR-2024-724,PR-2024-40426,RFQ-2024-5298,2025-04-01,2025-04-17,On Site,H163887,MTC-66347,Yes,Yes,Piping
MAT-0019,Carbon Steel,A53,Sheet,ASTM A36,Carbon Steel A53 Sheet,791,427,28,339,374mm x 72mm,39,M,289.46,Allegheny Technologies,David Wilson,WO-2024-1274,MR-2024-539,PR-2024-19419,RFQ-2024-2598,2025-04-30,2025-06-28,In Transit,H100168,MTC-91486,No,No,Pressure Vessel
MAT-0020,Carbon Steel,A53,Beam,ASTM A106,Carbon Steel A53 Beam,1005,423,22,302,221mm x 404mm,78,MT,424.02,Acerinox,Emily Martinez,WO-2024-8530,MR-2024-224,PR-2024-27215,RFQ-2024-1125,2025-04-26,2025-06-19,Inspected,H470995,MTC-62385,Yes,No,Pressure Vessel
MAT-0021,Carbon Steel,A572,Pipe,ASTM A106,Carbon Steel A572 Pipe,522,399,20,313,449mm x 258mm,67,EA,241.81,Nucor Steel,David Wilson,WO-2024-5898,MR-2024-207,PR-2024-58213,RFQ-2024-4144,2025-03-29,2025-04-21,In Transit,H432550,MTC-49029,Yes,No,Structural
MAT-0022,Carbon Steel,A572,Plate,ASTM A516,Carbon Steel A572 Plate,836,515,25,358,173mm x 491mm,26,EA,17.8,Acerinox,Sarah Johnson,WO-2024-6425,MR-2024-705,PR-2024-56785,RFQ-2024-5468,2025-05-08,2025-05-27,In Transit,H772764,MTC-80588,Yes,No,Piping
MAT-0023,Carbon Steel,A572,Bar,ASTM A106,Carbon Steel A572 Bar,848,423,35,270,362mm x 268mm,4,EA,445.29,Outokumpu,Jennifer Davis,WO-2024-4649,MR-2024-292,PR-2024-92365,RFQ-2024-7779,2025-06-20,2025-07-09,On Site,H475667,MTC-97441,Yes,No,Heat Exchanger
MAT-0024,Carbon Steel,A572,Sheet,ASTM A572,Carbon Steel A572 Sheet,601,676,18,162,163mm x 266mm,36,MT,150.26,Special Metals,Michael Garcia,WO-2024-3477,MR-2024-773,PR-2024-25960,RFQ-2024-5523,2025-03-26,2025-04-26,Delivered,H552230,MTC-39664,Yes,No,Piping
MAT-0025,Carbon Steel,A572,Beam,ASTM A106,Carbon Steel A572 Beam,1183,559,35,395,423mm x 366mm,97,M,171.42,Carpenter Technology,David Wilson,WO-2024-7972,MR-2024-951,PR-2024-92326,RFQ-2024-8875,2025-04-21,2025-06-06,Active,H531957,MTC-90031,No,No,Pressure Vessel
MAT-0026,Stainless Steel,316L,Pipe,ASTM A240,Stainless Steel 316L Pipe,1175,418,25,229,276mm x 133mm,44,FT,238.99,ThyssenKrupp,Sarah Johnson,WO-2024-5838,MR-2024-789,PR-2024-43258,RFQ-2024-7636,2025-04-18,2025-05-06,Active,H840848,MTC-62951,No,Yes,Heat Exchanger
MAT-0027,Stainless Steel,316L,Plate,ASTM A276,Stainless Steel 316L Plate,757,743,21,157,46mm x 440mm,80,EA,462.14,Acerinox,David Wilson,WO-2024-6922,MR-2024-721,PR-2024-77791,RFQ-2024-7437,2025-04-14,2025-05-13,On Site,H857398,MTC-99172,No,No,Heat Exchanger
MAT-0028,Stainless Steel,316L,Bar,ASTM A479,Stainless Steel 316L Bar,575,593,18,262,319mm x 168mm,95,EA,434.58,Aperam,Emily Martinez,WO-2024-1599,MR-2024-280,PR-2024-69617,RFQ-2024-4548,2025-05-19,2025-06-18,Inspected,H899393,MTC-43532,No,Yes,Piping
MAT-0029,Stainless Steel,316L,Sheet,ASTM A479,Stainless Steel 316L Sheet,578,705,24,400,231mm x 31mm,77,KG,145.72,Acerinox,Mike Chen,WO-2024-1286,MR-2024-833,PR-2024-28344,RFQ-2024-9890,2025-04-27,2025-05-19,Active,H350039,MTC-94754,No,Yes,Heat Exchanger
MAT-0030,Stainless Steel,316L,Fitting,ASTM A479,Stainless Steel 316L Fitting,595,782,22,161,347mm x 191mm,30,EA,152.42,Aperam,Amanda Brown,WO-2024-3627,MR-2024-774,PR-2024-16898,RFQ-2024-1294,2025-04-02,2025-05-02,Inspected,H441896,MTC-34244,No,No,Heat Exchanger
MAT-0031,Stainless Steel,304,Pipe,ASTM A479,Stainless Steel 304 Pipe,680,673,23,155,163mm x 285mm,17,FT,11.88,Allegheny Technologies,Amanda Brown,WO-2024-5435,MR-2024-891,PR-2024-66765,RFQ-2024-3999,2025-04-18,2025-05-30,On Site,H488685,MTC-34102,Yes,No,Valve
MAT-0032,Stainless Steel,304,Plate,ASTM A182,Stainless Steel 304 Plate,774,334,28,178,149mm x 266mm,42,M,159.81,Aperam,Jennifer Davis,WO-2024-5701,MR-2024-953,PR-2024-88593,RFQ-2024-7806,2025-06-17,2025-08-12,Delivered,H850628,MTC-28353,No,Yes,Structural
MAT-0033,Stainless Steel,304,Bar,ASTM A182,Stainless Steel 304 Bar,913,654,35,332,266mm x 277mm,59,FT,10.86,Aperam,Lisa Rodriguez,WO-2024-2055,MR-2024-504,PR-2024-27692,RFQ-2024-1149,2025-04-24,2025-06-11,Active,H347260,MTC-86273,Yes,No,Valve
MAT-0034,Stainless Steel,304,Sheet,ASTM A182,Stainless Steel 304 Sheet,985,255,35,163,383mm x 14mm,46,FT,55.53,VDM Metals,Michael Garcia,WO-2024-7353,MR-2024-168,PR-2024-85501,RFQ-2024-2851,2025-05-14,2025-06-13,In Transit,H953244,MTC-79037,No,No,Pressure Vessel
MAT-0035,Stainless Steel,304,Fitting,ASTM A240,Stainless Steel 304 Fitting,845,371,28,164,330mm x 209mm,79,KG,96.03,Allegheny Technologies,Lisa Rodriguez,WO-2024-5019,MR-2024-620,PR-2024-64459,RFQ-2024-5291,2025-03-31,2025-05-26,Inspected,H621023,MTC-18610,No,Yes,Heat Exchanger
MAT-0036,Stainless Steel,304L,Pipe,ASTM A240,Stainless Steel 304L Pipe,1200,356,35,171,38mm x 310mm,17,MT,127.34,VDM Metals,Sarah Johnson,WO-2024-1690,MR-2024-625,PR-2024-26280,RFQ-2024-2078,2025-05-04,2025-06-14,On Site,H476831,MTC-27202,Yes,Yes,Pressure Vessel
MAT-0037,Stainless Steel,304L,Plate,ASTM A182,Stainless Steel 304L Plate,663,575,27,209,486mm x 429mm,75,FT,197.54,ThyssenKrupp,Sarah Johnson,WO-2024-4111,MR-2024-590,PR-2024-13781,RFQ-2024-7336,2025-06-09,2025-08-03,Delivered,H248169,MTC-79542,No,Yes,Structural
MAT-0038,Stainless Steel,304L,Bar,ASTM A479,Stainless Steel 304L Bar,548,607,25,306,226mm x 251mm,21,MT,195.71,Acerinox,David Wilson,WO-2024-4600,MR-2024-858,PR-2024-47167,RFQ-2024-6998,2025-03-27,2025-04-23,In Transit,H794821,MTC-65311,No,Yes,Valve
MAT-0039,Stainless Steel,304L,Sheet,ASTM A240,Stainless Steel 304L Sheet,641,295,20,293,490mm x 374mm,97,FT,423.75,Allegheny Technologies,Robert Taylor,WO-2024-4553,MR-2024-408,PR-2024-85524,RFQ-2024-3173,2025-06-04,2025-06-27,Inspected,H240641,MTC-83589,No,No,Piping
MAT-0040,Stainless Steel,304L,Fitting,ASTM A240,Stainless Steel 304L Fitting,642,771,29,193,314mm x 58mm,28,MT,420.79,ThyssenKrupp,David Wilson,WO-2024-1217,MR-2024-967,PR-2024-91122,RFQ-2024-6689,2025-05-19,2025-06-15,Active,H129024,MTC-15327,Yes,Yes,Structural
MAT-0041,Stainless Steel,316,Pipe,ASTM A276,Stainless Steel 316 Pipe,431,690,22,374,343mm x 281mm,87,M,129.22,Carpenter Technology,Mike Chen,WO-2024-9680,MR-2024-593,PR-2024-87319,RFQ-2024-8504,2025-04-10,2025-05-14,On Site,H173038,MTC-67700,No,Yes,Pressure Vessel
MAT-0042,Stainless Steel,316,Plate,ASTM A182,Stainless Steel 316 Plate,1171,796,17,181,324mm x 416mm,36,EA,478.57,Carpenter Technology,Sarah Johnson,WO-2024-9122,MR-2024-101,PR-2024-40993,RFQ-2024-8148,2025-06-14,2025-07-08,In Transit,H997254,MTC-53464,No,No,Piping
MAT-0043,Stainless Steel,316,Bar,ASTM A312,Stainless Steel 316 Bar,1165,575,18,376,158mm x 323mm,81,KG,483.64,Carpenter Technology,Jennifer Davis,WO-2024-9170,MR-2024-404,PR-2024-28065,RFQ-2024-2715,2025-05-29,2025-07-04,On Site,H870199,MTC-59415,Yes,No,Piping
MAT-0044,Stainless Steel,316,Sheet,ASTM A182,Stainless Steel 316 Sheet,1197,727,17,295,132mm x 310mm,51,KG,431.55,Acerinox,Emily Martinez,WO-2024-6263,MR-2024-351,PR-2024-80584,RFQ-2024-5925,2025-05-25,2025-06-18,Inspected,H404748,MTC-62733,Yes,No,Valve
MAT-0045,Stainless Steel,316,Fitting,ASTM A479,Stainless Steel 316 Fitting,1080,726,35,316,386mm x 171mm,24,MT,369.81,Acerinox,David Wilson,WO-2024-5853,MR-2024-487,PR-2024-73719,RFQ-2024-5936,2025-04-08,2025-05-27,Inspected,H389632,MTC-94603,Yes,Yes,Pressure Vessel
MAT-0046,Stainless Steel,321,Pipe,ASTM A276,Stainless Steel 321 Pipe,1129,273,30,178,380mm x 130mm,17,FT,105.85,ThyssenKrupp,Sarah Johnson,WO-2024-2486,MR-2024-937,PR-2024-37665,RFQ-2024-8376,2025-04-25,2025-05-29,Active,H992454,MTC-18708,No,No,Heat Exchanger
MAT-0047,Stainless Steel,321,Plate,ASTM A479,Stainless Steel 321 Plate,573,582,17,184,469mm x 154mm,61,EA,79.59,Nucor Steel,Sarah Johnson,WO-2024-8597,MR-2024-595,PR-2024-69685,RFQ-2024-9328,2025-05-17,2025-07-08,In Transit,H169424,MTC-17037,Yes,No,Valve
MAT-0048,Stainless Steel,321,Bar,ASTM A182,Stainless Steel 321 Bar,781,628,28,363,282mm x 272mm,3,FT,201.59,Special Metals,Lisa Rodriguez,WO-2024-5618,MR-2024-577,PR-2024-53910,RFQ-2024-3168,2025-06-17,2025-07-06,Active,H255772,MTC-74219,Yes,Yes,Piping
MAT-0049,Stainless Steel,321,Sheet,ASTM A312,Stainless Steel 321 Sheet,1035,466,19,340,357mm x 451mm,43,EA,36.26,Nucor Steel,Emily Martinez,WO-2024-4209,MR-2024-524,PR-2024-59634,RFQ-2024-2705,2025-05-08,2025-06-23,In Transit,H129048,MTC-88873,No,Yes,Piping
MAT-0050,Stainless Steel,321,Fitting,ASTM A240,Stainless Steel 321 Fitting,1175,343,16,254,425mm x 95mm,27,M,103.87,Nucor Steel,Lisa Rodriguez,WO-2024-1358,MR-2024-912,PR-2024-56320,RFQ-2024-8391,2025-05-06,2025-06-25,Delivered,H656533,MTC-52093,No,Yes,Heat Exchanger
MAT-0051,Stainless Steel,347,Pipe,ASTM A479,Stainless Steel 347 Pipe,849,777,35,251,299mm x 283mm,54,FT,200.14,ThyssenKrupp,John Smith,WO-2024-2937,MR-2024-631,PR-2024-26280,RFQ-2024-8886,2025-06-14,2025-07-31,Delivered,H178234,MTC-90928,Yes,Yes,Piping
MAT-0052,Stainless Steel,347,Plate,ASTM A312,Stainless Steel 347 Plate,668,581,34,201,249mm x 37mm,63,M,469.02,Outokumpu,Mike Chen,WO-2024-9889,MR-2024-589,PR-2024-33054,RFQ-2024-1794,2025-04-14,2025-06-08,Delivered,H698551,MTC-10178,No,Yes,Piping
MAT-0053,Stainless Steel,347,Bar,ASTM A312,Stainless Steel 347 Bar,850,762,27,341,290mm x 179mm,76,MT,31.84,Special Metals,Amanda Brown,WO-2024-3664,MR-2024-197,PR-2024-36661,RFQ-2024-8726,2025-03-27,2025-05-16,Active,H252013,MTC-40202,Yes,No,Pressure Vessel
MAT-0054,Stainless Steel,347,Sheet,ASTM A182,Stainless Steel 347 Sheet,822,658,30,243,84mm x 370mm,76,MT,358.23,ThyssenKrupp,Lisa Rodriguez,WO-2024-9419,MR-2024-547,PR-2024-90135,RFQ-2024-9679,2025-06-02,2025-07-04,Inspected,H162955,MTC-45558,No,Yes,Piping
MAT-0055,Stainless Steel,347,Fitting,ASTM A312,Stainless Steel 347 Fitting,909,676,24,367,119mm x 134mm,70,MT,405.07,Acerinox,Jennifer Davis,WO-2024-2482,MR-2024-348,PR-2024-54566,RFQ-2024-5376,2025-04-19,2025-05-03,In Transit,H271028,MTC-89682,Yes,Yes,Heat Exchanger
MAT-0056,Stainless Steel,410,Pipe,ASTM A479,Stainless Steel 410 Pipe,732,420,33,270,163mm x 39mm,77,M,140.63,Special Metals,Emily Martinez,WO-2024-9446,MR-2024-989,PR-2024-51070,RFQ-2024-4489,2025-04-09,2025-06-02,Delivered,H758039,MTC-17146,No,No,Heat Exchanger
MAT-0057,Stainless Steel,410,Plate,ASTM A182,Stainless Steel 410 Plate,522,533,32,217,430mm x 139mm,58,M,489.68,Sandvik,Michael Garcia,WO-2024-4342,MR-2024-773,PR-2024-77198,RFQ-2024-6598,2025-04-20,2025-05-25,On Site,H883412,MTC-48117,Yes,Yes,Pressure Vessel
MAT-0058,Stainless Steel,410,Bar,ASTM A276,Stainless Steel 410 Bar,1067,658,16,336,201mm x 57mm,5,KG,254.03,ThyssenKrupp,Mike Chen,WO-2024-7311,MR-2024-566,PR-2024-80372,RFQ-2024-3778,2025-04-08,2025-04-24,Active,H267231,MTC-29159,No,Yes,Valve
MAT-0059,Stainless Steel,410,Sheet,ASTM A312,Stainless Steel 410 Sheet,763,438,30,198,480mm x 36mm,40,KG,347.82,Sandvik,Mike Chen,WO-2024-6491,MR-2024-235,PR-2024-41236,RFQ-2024-3980,2025-05-20,2025-07-01,Active,H370435,MTC-45894,No,No,Heat Exchanger
MAT-0060,Stainless Steel,410,Fitting,ASTM A276,Stainless Steel 410 Fitting,604,695,34,182,325mm x 453mm,94,FT,325.24,Sandvik,Robert Taylor,WO-2024-1144,MR-2024-103,PR-2024-24626,RFQ-2024-8364,2025-05-07,2025-06-24,Delivered,H262419,MTC-89986,No,No,Valve
MAT-0061,Stainless Steel,430,Pipe,ASTM A312,Stainless Steel 430 Pipe,668,444,26,301,39mm x 478mm,19,M,51.31,Outokumpu,David Wilson,WO-2024-4586,MR-2024-971,PR-2024-73329,RFQ-2024-3571,2025-04-04,2025-05-30,Delivered,H557604,MTC-95195,No,Yes,Structural
MAT-0062,Stainless Steel,430,Plate,ASTM A479,Stainless Steel 430 Plate,702,473,34,252,435mm x 196mm,30,M,315.9,ThyssenKrupp,Emily Martinez,WO-2024-3389,MR-2024-100,PR-2024-91542,RFQ-2024-4069,2025-06-05,2025-07-07,Active,H912663,MTC-11576,Yes,Yes,Structural
MAT-0063,Stainless Steel,430,Bar,ASTM A182,Stainless Steel 430 Bar,999,779,22,274,390mm x 62mm,64,EA,208.26,ThyssenKrupp,John Smith,WO-2024-1261,MR-2024-433,PR-2024-31791,RFQ-2024-9539,2025-05-29,2025-07-18,Delivered,H921055,MTC-16038,Yes,No,Structural
MAT-0064,Stainless Steel,430,Sheet,ASTM A276,Stainless Steel 430 Sheet,982,428,28,189,319mm x 80mm,66,KG,83.93,Nucor Steel,Emily Martinez,WO-2024-5251,MR-2024-635,PR-2024-24743,RFQ-2024-4708,2025-05-18,2025-06-13,On Site,H704168,MTC-57027,No,Yes,Structural
MAT-0065,Stainless Steel,430,Fitting,ASTM A182,Stainless Steel 430 Fitting,429,444,31,169,499mm x 40mm,37,KG,64.58,ThyssenKrupp,Sarah Johnson,WO-2024-7635,MR-2024-865,PR-2024-95887,RFQ-2024-2186,2025-04-28,2025-05-17,On Site,H820900,MTC-26634,No,No,Structural
MAT-0066,Aluminum,6061-T6,Plate,ASTM B209,Aluminum 6061-T6 Plate,481,567,20,312,439mm x 100mm,94,KG,402.53,Acerinox,Jennifer Davis,WO-2024-3651,MR-2024-228,PR-2024-34718,RFQ-2024-8002,2025-05-03,2025-06-11,In Transit,H494229,MTC-73486,No,No,Pressure Vessel
MAT-0067,Aluminum,6061-T6,Sheet,ASTM B234,Aluminum 6061-T6 Sheet,1077,691,32,231,132mm x 23mm,99,EA,356.78,ThyssenKrupp,David Wilson,WO-2024-1565,MR-2024-714,PR-2024-63733,RFQ-2024-3944,2025-06-01,2025-06-20,Active,H629271,MTC-12833,No,No,Piping
MAT-0068,Aluminum,6061-T6,Bar,ASTM B211,Aluminum 6061-T6 Bar,483,461,35,307,92mm x 277mm,80,FT,119.26,Special Metals,Lisa Rodriguez,WO-2024-6615,MR-2024-580,PR-2024-41879,RFQ-2024-4004,2025-03-30,2025-05-02,Active,H223567,MTC-30282,Yes,Yes,Pressure Vessel
MAT-0069,Aluminum,6061-T6,Tube,ASTM B209,Aluminum 6061-T6 Tube,975,515,26,253,74mm x 52mm,90,EA,493.51,Carpenter Technology,Emily Martinez,WO-2024-2921,MR-2024-680,PR-2024-14459,RFQ-2024-4044,2025-04-11,2025-06-06,Delivered,H454128,MTC-37895,No,Yes,Pressure Vessel
MAT-0070,Aluminum,6061-T6,Angle,ASTM B209,Aluminum 6061-T6 Angle,815,723,28,329,463mm x 415mm,25,MT,353.48,Special Metals,Sarah Johnson,WO-2024-4696,MR-2024-396,PR-2024-55047,RFQ-2024-2254,2025-04-28,2025-06-02,On Site,H288423,MTC-26798,Yes,No,Heat Exchanger
MAT-0071,Aluminum,5052-H32,Plate,ASTM B221,Aluminum 5052-H32 Plate,1047,565,32,163,251mm x 447mm,89,EA,270.74,Aperam,Sarah Johnson,WO-2024-5199,MR-2024-434,PR-2024-30555,RFQ-2024-1543,2025-04-12,2025-06-05,On Site,H344214,MTC-76969,Yes,No,Piping
MAT-0072,Aluminum,5052-H32,Sheet,ASTM B234,Aluminum 5052-H32 Sheet,719,541,27,174,140mm x 198mm,6,M,392.37,Nucor Steel,Jennifer Davis,WO-2024-4626,MR-2024-605,PR-2024-99264,RFQ-2024-2894,2025-04-24,2025-06-13,On Site,H368214,MTC-81676,No,No,Structural
MAT-0073,Aluminum,5052-H32,Bar,ASTM B211,Aluminum 5052-H32 Bar,807,667,28,233,350mm x 40mm,47,EA,113.23,Nucor Steel,David Wilson,WO-2024-6816,MR-2024-629,PR-2024-60564,RFQ-2024-4060,2025-04-07,2025-05-08,Delivered,H210612,MTC-76424,No,Yes,Valve
MAT-0074,Aluminum,5052-H32,Tube,ASTM B221,Aluminum 5052-H32 Tube,566,557,23,227,186mm x 471mm,78,MT,160.61,Allegheny Technologies,David Wilson,WO-2024-8334,MR-2024-690,PR-2024-27932,RFQ-2024-5514,2025-05-19,2025-07-12,Inspected,H229601,MTC-24398,No,No,Piping
MAT-0075,Aluminum,5052-H32,Angle,ASTM B234,Aluminum 5052-H32 Angle,466,510,33,330,292mm x 432mm,14,EA,194.53,Carpenter Technology,John Smith,WO-2024-4999,MR-2024-121,PR-2024-72474,RFQ-2024-3013,2025-05-18,2025-06-17,Delivered,H137251,MTC-85264,Yes,Yes,Structural
MAT-0076,Aluminum,3003-H14,Plate,ASTM B234,Aluminum 3003-H14 Plate,933,501,26,289,181mm x 448mm,14,KG,396.36,Aperam,Emily Martinez,WO-2024-1976,MR-2024-589,PR-2024-88410,RFQ-2024-7802,2025-05-08,2025-05-23,In Transit,H488429,MTC-37093,Yes,Yes,Pressure Vessel
MAT-0077,Aluminum,3003-H14,Sheet,ASTM B209,Aluminum 3003-H14 Sheet,1146,263,32,292,324mm x 462mm,65,KG,336.04,ThyssenKrupp,John Smith,WO-2024-2751,MR-2024-652,PR-2024-19986,RFQ-2024-5368,2025-04-08,2025-05-31,Inspected,H989852,MTC-24759,Yes,No,Valve
MAT-0078,Aluminum,3003-H14,Bar,ASTM B209,Aluminum 3003-H14 Bar,459,288,19,202,107mm x 482mm,4,M,206.68,Special Metals,Lisa Rodriguez,WO-2024-1099,MR-2024-800,PR-2024-67362,RFQ-2024-9316,2025-05-16,2025-06-02,Inspected,H603347,MTC-75866,No,No,Heat Exchanger
MAT-0079,Aluminum,3003-H14,Tube,ASTM B209,Aluminum 3003-H14 Tube,1139,370,25,233,270mm x 421mm,84,FT,330.59,Sandvik,Robert Taylor,WO-2024-2469,MR-2024-829,PR-2024-30105,RFQ-2024-8157,2025-06-08,2025-07-23,In Transit,H701955,MTC-54226,Yes,Yes,Piping
MAT-0080,Aluminum,3003-H14,Angle,ASTM B234,Aluminum 3003-H14 Angle,1095,626,33,187,115mm x 66mm,26,KG,303.59,Aperam,Robert Taylor,WO-2024-8996,MR-2024-763,PR-2024-13358,RFQ-2024-5428,2025-03-30,2025-04-28,Delivered,H757649,MTC-50794,No,No,Valve
MAT-0081,Aluminum,7075-T6,Plate,ASTM B221,Aluminum 7075-T6 Plate,902,505,31,269,232mm x 40mm,58,FT,121.14,Aperam,Amanda Brown,WO-2024-2485,MR-2024-822,PR-2024-82345,RFQ-2024-1313,2025-05-08,2025-06-08,On Site,H820288,MTC-34704,Yes,No,Valve
MAT-0082,Aluminum,7075-T6,Sheet,ASTM B209,Aluminum 7075-T6 Sheet,871,405,26,243,431mm x 55mm,12,KG,56.78,Sandvik,Lisa Rodriguez,WO-2024-3497,MR-2024-123,PR-2024-76197,RFQ-2024-7869,2025-05-27,2025-07-16,On Site,H449011,MTC-33279,No,Yes,Heat Exchanger
